Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Bad Klosterlausnitz,Gemeinde,16074003,Thüringen 
Bad Kohlgrub,Gemeinde,9180112,Bayern
Bad König,Stadt,6437001,Hessen
Bad Königshofen i. Grabfeld,Stadt,9673141,Bayern
Bad Köstritz,Stadt,16076003,Thüringen 
Bad Kötzting,Stadt,9372137,Bayern
Bad Kreuznach,Stadt,7133006,Rheinland-Pfalz
Bad Krozingen,Stadt,8315006,Baden-Württemberg
Bad Laasphe,Stadt,5970028,Nordrhein-Westfalen
Bad Laer,Gemeinde,3459005,Niedersachsen
Bad Langensalza,Stadt,16064003,Thüringen 
Bad Lauchstädt,Stadt,15088025,Sachsen-Anhalt
Bad Lausick,Stadt,14729010,Sachsen
Bad Lauterberg im Harz,Stadt,3156002,Niedersachsen
Bad Liebenstein,Stadt,16063099,Thüringen 
Bad Liebenwerda,Stadt,12062024,Brandenburg
Bad Liebenzell,Stadt,8235008,Baden-Württemberg
Bad Lippspringe,Stadt,5774008,Nordrhein-Westfalen
Bad Lobenstein,Stadt,16075062,Thüringen 
Bad Marienberg (Westerwald),Stadt,7143206,Rheinland-Pfalz
Bad Mergentheim,Stadt,8128007,Baden-Württemberg
Bad Münder am Deister,Stadt,3252002,Niedersachsen
Bad Münstereifel,Stadt,5366004,Nordrhein-Westfalen
Bad Muskau,Stadt,14626010,Sachsen
Bad Nauheim,Stadt,6440002,Hessen
Bad Nenndorf,Stadt,3257006,Niedersachsen
Bad Neuenahr-Ahrweiler,Stadt,7131007,Rheinland-Pfalz
Bad Neustadt a.d. Saale,Stadt,9673114,Bayern
Bad Oeynhausen,Stadt,5770004,Nordrhein-Westfalen
Bad Oldesloe,Stadt,1062004,Schleswig-Holstein
Bad Orb,Stadt,6435001,Hessen
Bad Peterstal-Griesbach,Gemeinde,8317008,Baden-Württemberg
Bad Pyrmont,Stadt,3252003,Niedersachsen
Bad Rappenau,Stadt,8125006,Baden-Württemberg
Bad Reichenhall,Stadt,9172114,Bayern
Bad Rippoldsau-Schapbach,Gemeinde,8237075,Baden-Württemberg
Bad Rodach,Stadt,9473158,Bayern
Bad Rothenfelde,Gemeinde,3459006,Niedersachsen
Bad Saarow,Gemeinde,12067024,Brandenburg
Bad Sachsa,Stadt,3156003,Niedersachsen
Bad Säckingen,Stadt,8337096,Baden-Württemberg
Bad Salzdetfurth,Stadt,3254005,Niedersachsen
Bad Salzschlirf,Gemeinde,6631001,Hessen
Bad Salzuflen,Stadt,5766008,Nordrhein-Westfalen
Bad Salzungen,Stadt,16063003,Thüringen 
Bad Sassendorf,Gemeinde,5974008,Nordrhein-Westfalen
Bad Saulgau,Stadt,8437100,Baden-Württemberg
Bad Schandau,Stadt,14628030,Sachsen
Bad Schlema,Gemeinde,14521050,Sachsen
Bad Schmiedeberg,Stadt,15091020,Sachsen-Anhalt
Bad Schönborn,Gemeinde,8215100,Baden-Württemberg
Bad Schussenried,Stadt,8426014,Baden-Württemberg
Bad Schwalbach,Stadt,6439002,Hessen
Bad Schwartau,Stadt,1055004,Schleswig-Holstein
Bad Segeberg,Stadt,1060005,Schleswig-Holstein
Bad Sobernheim,Stadt,7133501,Rheinland-Pfalz
Bad Soden am Taunus,Stadt,6436001,Hessen
Bad Soden-Salmünster,Stadt,6435002,Hessen
Bad Sooden-Allendorf,Stadt,6636001,Hessen
Bad Staffelstein,Stadt,9478165,Bayern
Bad Steben,Gemeinde,9475112,Bayern
Bad Sulza,Stadt,16071004,Thüringen 
Bad Sülze,Stadt,13073007,Mecklenburg-Vorpommern
Bad Teinach-Zavelstein,Stadt,8235084,Baden-Württemberg
Bad Tennstedt,Stadt,16064004,Thüringen 
Bad Tölz,Stadt,9173112,Bayern
Bad Überkingen,Gemeinde,8117007,Baden-Württemberg
Bad Urach,Stadt,8415078,Baden-Württemberg
Bad Vilbel,Stadt,6440003,Hessen
Bad Waldsee,Stadt,8436009,Baden-Württemberg
Bad Wiessee,Gemeinde,9182111,Bayern
Bad Wildbad,Stadt,8235079,Baden-Württemberg
Bad Wildungen,Stadt,6635003,Hessen
Bad Wilsnack,Stadt,12070008,Brandenburg
Bad Wimpfen,Stadt,8125007,Baden-Württemberg
Bad Windsheim,Stadt,9575112,Bayern
Bad Wörishofen,Stadt,9778116,Bayern
Bad Wünnenberg,Stadt,5774040,Nordrhein-Westfalen
Bad Wurzach,Stadt,8436010,Baden-Württemberg
Bad Zwesten,Gemeinde,6634027,Hessen
Bad Zwischenahn,Gemeinde,3451002,Niedersachsen
Badbergen,Gemeinde,3459007,Niedersachsen
Baddeckenstedt,Gemeinde,3158002,Niedersachsen
Badem,Gemeinde,7232007,Rheinland-Pfalz
Baden-Baden,Stadt,8211000,Baden-Württemberg
Badendorf,Gemeinde,1062003,Schleswig-Holstein
Badenhard,Gemeinde,7140005,Rheinland-Pfalz
Badenheim,Gemeinde,7339004,Rheinland-Pfalz
Badenweiler,Gemeinde,8315007,Baden-Württemberg
Baesweiler,Stadt,5334008,Nordrhein-Westfalen
Bahlingen am Kaiserstuhl,Gemeinde,8316002,Baden-Württemberg
Bahrdorf,Gemeinde,3154001,Niedersachsen
Bahrenborstel,Gemeinde,3251003,Niedersachsen
Bahrenfleth,Gemeinde,1061006,Schleswig-Holstein
Bahrenhof,Gemeinde,1060006,Schleswig-Holstein
Bahretal,Gemeinde,14628040,Sachsen
Baienfurt,Gemeinde,8436011,Baden-Württemberg
Baierbach,Gemeinde,9274118,Bayern
Baierbrunn,Gemeinde,9184113,Bayern
Baiern,Gemeinde,9175113,Bayern
Baiersbronn,Gemeinde,8237004,Baden-Württemberg
Baiersdorf,Stadt,9572115,Bayern
Baindt,Gemeinde,8436012,Baden-Württemberg
Baisweil,Gemeinde,9777114,Bayern
Bäk,Gemeinde,1053004,Schleswig-Holstein
Bakum,Gemeinde,3460001,Niedersachsen
Bälau,Gemeinde,1053005,Schleswig-Holstein
Balderschwang,Gemeinde,9780113,Bayern
Baldringen,Gemeinde,7235003,Rheinland-Pfalz
Balduinstein,Gemeinde,7141503,Rheinland-Pfalz
Balesfeld,Gemeinde,7232203,Rheinland-Pfalz
Balge,Gemeinde,3256001,Niedersachsen
Balgheim,Gemeinde,8327005,Baden-Württemberg
Balgstädt,Gemeinde,15084025,Sachsen-Anhalt
Balingen,Stadt,8417002,Baden-Württemberg
Balje,Gemeinde,3359004,Niedersachsen
Ballendorf,Gemeinde,8425013,Baden-Württemberg
Ballenstedt,Stadt,15085040,Sachsen-Anhalt
Ballhausen,Gemeinde,16064005,Thüringen 
Ballrechten-Dottingen,Gemeinde,8315008,Baden-Württemberg
Ballstädt,Gemeinde,16067003,Thüringen 
Ballstedt,Gemeinde,16071005,Thüringen 
Balow,Gemeinde,13076003,Mecklenburg-Vorpommern
Baltmannsweiler,Gemeinde,8116007,Baden-Württemberg
Baltrum,Gemeinde,3452002,Niedersachsen
Balve,Stadt,5962008,Nordrhein-Westfalen
Balzhausen,Gemeinde,9774115,Bayern
Balzheim,Gemeinde,8425140,Baden-Württemberg
Bamberg,Stadt,9461000,Bayern
Bammental,Gemeinde,8226006,Baden-Württemberg
Bandelin,Gemeinde,13075006,Mecklenburg-Vorpommern
Bandenitz,Gemeinde,13076004,Mecklenburg-Vorpommern
Bann,Gemeinde,7335002,Rheinland-Pfalz
Bannberscheid,Gemeinde,7143003,Rheinland-Pfalz
Bannewitz,Gemeinde,14628050,Sachsen
Banteln,Gemeinde,3254006,Niedersachsen
Banzkow,Gemeinde,13076005,Mecklenburg-Vorpommern
Barbelroth,Gemeinde,7337006,Rheinland-Pfalz
Barbing,Gemeinde,9375117,Bayern
Barby,Stadt,15089026,Sachsen-Anhalt
Barchfeld-Immelborn,Gemeinde,16063004,Thüringen 
Bardowick,Gemeinde,3355004,Niedersachsen
Bärenbach,Gemeinde,7133008,Rheinland-Pfalz
Bärenbach,Gemeinde,7140006,Rheinland-Pfalz
Barenburg,Gemeinde,3251004,Niedersachsen
Barendorf,Gemeinde,3355005,Niedersachsen
Bärenstein,Gemeinde,14521060,Sachsen
Bärenthal,Gemeinde,8327004,Baden-Württemberg
Bargenstedt,Gemeinde,1051004,Schleswig-Holstein
Bargfeld-Stegen,Gemeinde,1062005,Schleswig-Holstein
Bargischow,Gemeinde,13075007,Mecklenburg-Vorpommern
Bargstall,Gemeinde,1058010,Schleswig-Holstein
Bargstedt,Gemeinde,1058011,Schleswig-Holstein
Bargstedt,Gemeinde,3359005,Niedersachsen
Bargteheide,Stadt,1062006,Schleswig-Holstein
Bargum,Gemeinde,1054010,Schleswig-Holstein
Bark,Gemeinde,1060007,Schleswig-Holstein
Barkelsby,Gemeinde,1058012,Schleswig-Holstein
Barkenholm,Gemeinde,1051005,Schleswig-Holstein
Barkhagen,Gemeinde,13076006,Mecklenburg-Vorpommern
Barleben,Gemeinde,15083040,Sachsen-Anhalt
Barlt,Gemeinde,1051006,Schleswig-Holstein
Barmissen,Gemeinde,1057002,Schleswig-Holstein
Barmstedt,Stadt,1056002,Schleswig-Holstein
Bärnau,Stadt,9377112,Bayern
Barnekow,Gemeinde,13074003,Mecklenburg-Vorpommern
Barnin,Gemeinde,13076007,Mecklenburg-Vorpommern
Barnitz,Gemeinde,1062008,Schleswig-Holstein
Barnstädt,Gemeinde,15088030,Sachsen-Anhalt
Barnstedt,Gemeinde,3355006,Niedersachsen
Barnstorf,Gemeinde,3251005,Niedersachsen
Barnstorf-Warle,Gemeindefreies Gebiet,3158502,Niedersachsen
Barntrup,Stadt,5766012,Nordrhein-Westfalen
Barsbek,Gemeinde,1057003,Schleswig-Holstein
Barsbüttel,Gemeinde,1062009,Schleswig-Holstein
Barsinghausen,Stadt,3241002,Niedersachsen
Barßel,Gemeinde,3453001,Niedersachsen
Bartenshagen-Parkentin,Gemeinde,13072007,Mecklenburg-Vorpommern
Barth,Stadt,13073009,Mecklenburg-Vorpommern
Bartholomä,Gemeinde,8136007,Baden-Württemberg
Bartow,Gemeinde,13071006,Mecklenburg-Vorpommern
Barum,Gemeinde,3355007,Niedersachsen
Barum,Gemeinde,3360003,Niedersachsen
Baruth/Mark,Stadt,12072014,Brandenburg
Barver,Gemeinde,3251006,Niedersachsen
Barwedel,Gemeinde,3151002,Niedersachsen
Barweiler,Gemeinde,7131008,Rheinland-Pfalz
Bärweiler,Gemeinde,7133009,Rheinland-Pfalz
Basberg,Gemeinde,7233002,Rheinland-Pfalz
Basdahl,Gemeinde,3357004,Niedersachsen
Basedow,Gemeinde,1053006,Schleswig-Holstein
Basedow,Gemeinde,13071007,Mecklenburg-Vorpommern
Bassenheim,Gemeinde,7137202,Rheinland-Pfalz
Bassum,Stadt,3251007,Niedersachsen
Bastheim,Gemeinde,9673116,Bayern
Basthorst,Gemeinde,1053007,Schleswig-Holstein
Bastorf,Gemeinde,13072008,Mecklenburg-Vorpommern
Battenberg (Eder),Stadt,6635004,Hessen
Battenberg (Pfalz),Gemeinde,7332003,Rheinland-Pfalz
Battweiler,Gemeinde,7340202,Rheinland-Pfalz
Baudenbach,Gemeinde,9575113,Bayern
Bauler,Gemeinde,7131009,Rheinland-Pfalz
Bauler,Gemeinde,7232008,Rheinland-Pfalz
Baumgarten,Gemeinde,13072009,Mecklenburg-Vorpommern
Baumholder,Stadt,7134005,Rheinland-Pfalz
Baunach,Stadt,9471115,Bayern
Baunatal,Stadt,6633003,Hessen
Bausendorf,Gemeinde,7231004,Rheinland-Pfalz
Baustert,Gemeinde,7232009,Rheinland-Pfalz
Bautzen,Stadt,14625020,Sachsen
Bawinkel,Gemeinde,3454002,Niedersachsen
Bayerbach,Gemeinde,9277112,Bayern
Bayerbach b. Ergoldsbach,Gemeinde,9274119,Bayern
Bayerfeld-Steckweiler,Gemeinde,7333004,Rheinland-Pfalz
Bayerisch Eisenstein,Gemeinde,9276115,Bayern
Bayerisch Gmain,Gemeinde,9172115,Bayern
Bayreuth,Stadt,9462000,Bayern
Bayrischzell,Gemeinde,9182112,Bayern
Bebensee,Gemeinde,1060008,Schleswig-Holstein
Bebra,Stadt,6632003,Hessen
Becheln,Gemeinde,7141008,Rheinland-Pfalz
Bechenheim,Gemeinde,7331005,Rheinland-Pfalz
Becherbach,Gemeinde,7133011,Rheinland-Pfalz
Becherbach bei Kirn,Gemeinde,7133010,Rheinland-Pfalz
Bechhofen,Gemeinde,7340203,Rheinland-Pfalz
Bechhofen,Gemeinde,9571115,Bayern
Bechstedt,Gemeinde,16073006,Thüringen 
Bechstedtstraß,Gemeinde,16071006,Thüringen 
Bechtheim,Gemeinde,7331006,Rheinland-Pfalz
Bechtolsheim,Gemeinde,7331007,Rheinland-Pfalz
Bechtsrieth,Gemeinde,9374170,Bayern
Beckdorf,Gemeinde,3359006,Niedersachsen
Beckedorf,Gemeinde,3257007,Niedersachsen
Beckeln,Gemeinde,3458001,Niedersachsen
Beckingen,Gemeinde,10042111,Saarland
Beckum,Stadt,5570008,Nordrhein-Westfalen
Bedburg,Stadt,5362004,Nordrhein-Westfalen
Bedburg-Hau,Gemeinde,5154004,Nordrhein-Westfalen
Bedesbach,Gemeinde,7336106,Rheinland-Pfalz
Beedenbostel,Gemeinde,3351003,Niedersachsen
Beelen,Gemeinde,5570012,Nordrhein-Westfalen
Beelitz,Stadt,12069017,Brandenburg
Beendorf,Gemeinde,15083060,Sachsen-Anhalt
Beerfelden,Stadt,6437002,Hessen
Beeskow,Stadt,12067036,Brandenburg
Beesten,Gemeinde,3454003,Niedersachsen
Beetzendorf,Gemeinde,15081045,Sachsen-Anhalt
Beetzsee,Gemeinde,12069018,Brandenburg
Beetzseeheide,Gemeinde,12069019,Brandenburg
Beggerow,Gemeinde,13071008,Mecklenburg-Vorpommern
Behlendorf,Gemeinde,1053008,Schleswig-Holstein
Behrendorf,Gemeinde,1054011,Schleswig-Holstein
Behrenhoff,Gemeinde,13075008,Mecklenburg-Vorpommern
Behren-Lübchin,Gemeinde,13072010,Mecklenburg-Vorpommern
Behrensdorf (Ostsee),Gemeinde,1057004,Schleswig-Holstein
Behringersdorfer Forst,Gemeindefreies Gebiet,9574451,Bayern
Beichlingen,Gemeinde,16068003,Thüringen 
Beidenfleth,Gemeinde,1061007,Schleswig-Holstein
Beiersdorf,Gemeinde,14626020,Sachsen
Beiersdorf-Freudenberg,Gemeinde,12064053,Brandenburg
Beierstedt,Gemeinde,3154002,Niedersachsen
Beilingen,Gemeinde,7232010,Rheinland-Pfalz
Beilngries,Stadt,9176114,Bayern
Beilrode,Gemeinde,14730030,Sachsen
Beilstein,Gemeinde,7135007,Rheinland-Pfalz
Beilstein,Stadt,8125008,Baden-Württemberg
Beimerstetten,Gemeinde,8425014,Baden-Württemberg
Beindersheim,Gemeinde,7338002,Rheinland-Pfalz
Beinerstadt,Gemeinde,16069003,Thüringen 
Beinhausen,Gemeinde,7233003,Rheinland-Pfalz
Bekdorf,Gemeinde,1061008,Schleswig-Holstein
Bekmünde,Gemeinde,1061010,Schleswig-Holstein
Bekond,Gemeinde,7235004,Rheinland-Pfalz
Belau,Gemeinde,1057005,Schleswig-Holstein
Beldorf,Gemeinde,1058013,Schleswig-Holstein
Belg,Gemeinde,7140007,Rheinland-Pfalz
Belgern-Schildau,Stadt,14730045,Sachsen
Belgershain,Gemeinde,14729020,Sachsen
Belgweiler,Gemeinde,7140008,Rheinland-Pfalz
Bell,Gemeinde,7137008,Rheinland-Pfalz
Bell (Hunsrück),Gemeinde,7140009,Rheinland-Pfalz
Bellenberg,Gemeinde,9775115,Bayern
Bellheim,Gemeinde,7334001,Rheinland-Pfalz
Bellingen,Gemeinde,7143207,Rheinland-Pfalz
Bellstedt,Gemeinde,16065005,Thüringen 
Belm,Gemeinde,3459008,Niedersachsen
Belrieth,Gemeinde,16066005,Thüringen 
Belsch,Gemeinde,13076008,Mecklenburg-Vorpommern
Beltheim,Gemeinde,7140010,Rheinland-Pfalz
Belum,Gemeinde,3352004,Niedersachsen
Bempflingen,Gemeinde,8116008,Baden-Württemberg
Bendestorf,Gemeinde,3353003,Niedersachsen
Bendfeld,Gemeinde,1057006,Schleswig-Holstein
Bendorf,Gemeinde,1058014,Schleswig-Holstein
Bendorf,Stadt,7137203,Rheinland-Pfalz
Benediktbeuern,Gemeinde,9173113,Bayern
Bengel,Gemeinde,7231005,Rheinland-Pfalz
Bengerstorf,Gemeinde,13076009,Mecklenburg-Vorpommern
Benitz,Gemeinde,13072011,Mecklenburg-Vorpommern
Benndorf,Gemeinde,15087045,Sachsen-Anhalt
Bennewitz,Gemeinde,14729030,Sachsen
Bennhausen,Gemeinde,7333005,Rheinland-Pfalz
Benningen,Gemeinde,9778118,Bayern
Benningen am Neckar,Gemeinde,8118006,Baden-Württemberg
Bensdorf,Gemeinde,12069028,Brandenburg
Benshausen,Gemeinde,16066006,Thüringen 
Bensheim,Stadt,6431002,Hessen
Bentwisch,Gemeinde,13072012,Mecklenburg-Vorpommern
Bentzin,Gemeinde,13075009,Mecklenburg-Vorpommern
Benz,Gemeinde,13074004,Mecklenburg-Vorpommern
Benz,Gemeinde,13075010,Mecklenburg-Vorpommern
Benzweiler,Gemeinde,7140011,Rheinland-Pfalz
Beratzhausen,Gemeinde,9375118,Bayern
Berching,Stadt,9373112,Bayern
Berchtesgaden,Gemeinde,9172116,Bayern
Bereborn,Gemeinde,7233202,Rheinland-Pfalz
Berenbach,Gemeinde,7233203,Rheinland-Pfalz
Berg,Gemeinde,7131011,Rheinland-Pfalz
Berg,Gemeinde,7141009,Rheinland-Pfalz
Berg,Gemeinde,8436013,Baden-Württemberg
Berg,Gemeinde,9188113,Bayern
Berg,Gemeinde,9475113,Bayern
Berg (Pfalz),Gemeinde,7334002,Rheinland-Pfalz
Berg b. Neumarkt i.d. OPf.,Gemeinde,9373113,Bayern
Berg im Gau,Gemeinde,9185116,Bayern
Berga,Gemeinde,15087055,Sachsen-Anhalt
Berga/Elster,Stadt,16076004,Thüringen 
Bergatreute,Gemeinde,8436014,Baden-Württemberg
Berge,Gemeinde,3459009,Niedersachsen
Berge,Gemeinde,12070028,Brandenburg
Bergen,Stadt,3351004,Niedersachsen
Bergen,Gemeinde,7134006,Rheinland-Pfalz
Bergen,Gemeinde,9189113,Bayern
Bergen,Gemeinde,9577115,Bayern
Bergen,Gemeinde,14523050,Sachsen
Bergen an der Dumme,Gemeinde,3354001,Niedersachsen
Bergen auf Rügen,Stadt,13073010,Mecklenburg-Vorpommern
Bergenhausen,Gemeinde,7140012,Rheinland-Pfalz
Bergenhusen,Gemeinde,1059005,Schleswig-Holstein
Bergewöhrden,Gemeinde,1051008,Schleswig-Holstein
Bergfeld,Gemeinde,3151003,Niedersachsen
Berghaupten,Gemeinde,8317009,Baden-Württemberg
Berghausen,Gemeinde,7141010,Rheinland-Pfalz
Bergheim,Stadt,5362008,Nordrhein-Westfalen
Bergheim,Gemeinde,9185118,Bayern
Bergholz,Gemeinde,13075011,Mecklenburg-Vorpommern
Berghülen,Gemeinde,8425017,Baden-Württemberg
Bergisch Gladbach,Stadt,5378004,Nordrhein-Westfalen
Bergkamen,Stadt,5978004,Nordrhein-Westfalen
Bergkirchen,Gemeinde,9174113,Bayern
Berglangenbach,Gemeinde,7134007,Rheinland-Pfalz
Berglen,Gemeinde,8119089,Baden-Württemberg
Berglern,Gemeinde,9177112,Bayern
Berglicht,Gemeinde,7231006,Rheinland-Pfalz
Bergneustadt,Stadt,5374004,Nordrhein-Westfalen
Bergrheinfeld,Gemeinde,9678115,Bayern
Bergtheim,Gemeinde,9679117,Bayern
Bergweiler,Gemeinde,7231007,Rheinland-Pfalz
Beringstedt,Gemeinde,1058015,Schleswig-Holstein
Berka v.d. Hainich,Gemeinde,16063006,Thüringen 
Berka/Werra,Stadt,16063007,Thüringen 
Berkatal,Gemeinde,6636002,Hessen
Berkenbrück,Gemeinde,12067040,Brandenburg
Berkenthin,Gemeinde,1053009,Schleswig-Holstein
Berkheim,Gemeinde,8426019,Baden-Württemberg
Berkholz-Meyenburg,Gemeinde,12073032,Brandenburg
Berkoth,Gemeinde,7232011,Rheinland-Pfalz
Berlin,Stadt,11000000,Berlin
Berlingen,Gemeinde,7233004,Rheinland-Pfalz
Berlingerode,Gemeinde,16061003,Thüringen 
Berlstedt,Gemeinde,16071007,Thüringen 
Bermatingen,Gemeinde,8435005,Baden-Württemberg
Bermbach,Gemeinde,16066008,Thüringen 
Bermel,Gemeinde,7137011,Rheinland-Pfalz
Bermersheim,Gemeinde,7331009,Rheinland-Pfalz
Bermersheim vor der Höhe,Gemeinde,7331008,Rheinland-Pfalz
Bernau a. Chiemsee,Gemeinde,9187118,Bayern
Bernau bei Berlin,Stadt,12060020,Brandenburg
Bernau im Schwarzwald,Gemeinde,8337013,Baden-Württemberg
Bernbeuren,Gemeinde,9190114,Bayern
Bernburg (Saale),Stadt,15089030,Sachsen-Anhalt
Berndorf,Gemeinde,7233005,Rheinland-Pfalz
Berndroth,Gemeinde,7141011,Rheinland-Pfalz
Berne,Gemeinde,3461001,Niedersachsen
Berngau,Gemeinde,9373114,Bayern
Bernhardswald,Gemeinde,9375119,Bayern
Bernitt,Gemeinde,13072013,Mecklenburg-Vorpommern
Bernkastel-Kues,Stadt,7231008,Rheinland-Pfalz
Bernried,Gemeinde,9271116,Bayern
Bernried am Starnberger See,Gemeinde,9190115,Bayern
Bernsdorf,Gemeinde,14524010,Sachsen
Bernsdorf,Stadt,14625030,Sachsen
Bernstadt,Gemeinde,8425019,Baden-Württemberg
Bernstadt a.d. Eigen,Stadt,14626030,Sachsen
Bernstorf,Gemeinde,13074005,Mecklenburg-Vorpommern
Bernterode (bei Heilbad Heiligenstadt),Gemeinde,16061004,Thüringen 
Berod bei Hachenburg,Gemeinde,7132201,Rheinland-Pfalz
Berod bei Wallmerod,Gemeinde,7143208,Rheinland-Pfalz
Berscheid,Gemeinde,7232012,Rheinland-Pfalz
Berschweiler bei Baumholder,Gemeinde,7134008,Rheinland-Pfalz
Berschweiler bei Kirn,Gemeinde,7134009,Rheinland-Pfalz
Bersenbrück,Stadt,3459010,Niedersachsen
Bersteland,Gemeinde,12061017,Brandenburg
Bertsdorf-Hörnitz,Gemeinde,14626050,Sachsen
Berumbur,Gemeinde,3452003,Niedersachsen
Berzhahn,Gemeinde,7143209,Rheinland-Pfalz
Berzhausen,Gemeinde,7132005,Rheinland-Pfalz
Bescheid,Gemeinde,7235005,Rheinland-Pfalz
Beschendorf,Gemeinde,1055006,Schleswig-Holstein
Besdorf,Gemeinde,1061011,Schleswig-Holstein
Beselich,Gemeinde,6533001,Hessen
Besenthal,Gemeinde,1053010,Schleswig-Holstein
Beseritz,Gemeinde,13071009,Mecklenburg-Vorpommern
Besigheim,Stadt,8118007,Baden-Württemberg
Besitz,Gemeinde,13076010,Mecklenburg-Vorpommern
Bessenbach,Gemeinde,9671112,Bayern
Bestensee,Gemeinde,12061020,Brandenburg
Bestwig,Gemeinde,5958008,Nordrhein-Westfalen
Betheln,Gemeinde,3254007,Niedersachsen
Bethenhausen,Gemeinde,16076006,Thüringen 
Betteldorf,Gemeinde,7233006,Rheinland-Pfalz
Bettendorf,Gemeinde,7141012,Rheinland-Pfalz
Bettenfeld,Gemeinde,7231009,Rheinland-Pfalz
Bettingen,Gemeinde,7232013,Rheinland-Pfalz
Betzdorf,Stadt,7132006,Rheinland-Pfalz
Betzendorf,Gemeinde,3355008,Niedersachsen
Betzenstein,Stadt,9472118,Bayern
Betzenweiler,Gemeinde,8426020,Baden-Württemberg
Betzigau,Gemeinde,9780114,Bayern
Beulich,Gemeinde,7140201,Rheinland-Pfalz
Beuren,Gemeinde,7135008,Rheinland-Pfalz
Beuren,Gemeinde,8116011,Baden-Württemberg
Beuren (Hochwald),Gemeinde,7235008,Rheinland-Pfalz
Beuron,Gemeinde,8437005,Baden-Württemberg
Beutelsbach,Gemeinde,9275117,Bayern
Bevern,Gemeinde,1056003,Schleswig-Holstein
Bevern,Gemeinde,3255002,Niedersachsen
Beverstedt,Gemeinde,3352059,Niedersachsen
Beverungen,Stadt,5762008,Nordrhein-Westfalen
Bexbach,Stadt,10045111,Saarland
Biberach,Gemeinde,8317011,Baden-Württemberg
Biberach an der Riß,Stadt,8426021,Baden-Württemberg
Biberbach,Gemeinde,9772121,Bayern
Bibertal,Gemeinde,9774119,Bayern
Biblis,Gemeinde,6431003,Hessen
Bibow,Gemeinde,13074006,Mecklenburg-Vorpommern
Bibra,Gemeinde,16074004,Thüringen 
Biburg,Gemeinde,9273119,Bayern
Bichl,Gemeinde,9173115,Bayern
Bickenbach,Gemeinde,6432003,Hessen
Bickenbach,Gemeinde,7140014,Rheinland-Pfalz
Bickendorf,Gemeinde,7232014,Rheinland-Pfalz
Bidingen,Gemeinde,9777118,Bayern
Biebelnheim,Gemeinde,7331010,Rheinland-Pfalz
Biebelried,Gemeinde,9675113,Bayern
Biebelsheim,Gemeinde,7133012,Rheinland-Pfalz
Bieberehren,Gemeinde,9679118,Bayern
Biebergemünd,Gemeinde,6435003,Hessen
Biebern,Gemeinde,7140015,Rheinland-Pfalz
Biebertal,Gemeinde,6531002,Hessen
Biebesheim am Rhein,Gemeinde,6433001,Hessen
Biebrich,Gemeinde,7141013,Rheinland-Pfalz
Biedenkopf,Stadt,6534004,Hessen
Biederbach,Gemeinde,8316003,Baden-Württemberg
Biederitz,Gemeinde,15086005,Sachsen-Anhalt
Biedershausen,Gemeinde,7340204,Rheinland-Pfalz
Biedesheim,Gemeinde,7333006,Rheinland-Pfalz
Bielefeld,Stadt,5711000,Nordrhein-Westfalen
Biendorf,Gemeinde,13072014,Mecklenburg-Vorpommern
Bienenbüttel,Gemeinde,3360004,Niedersachsen
Bienstädt,Gemeinde,16067004,Thüringen 
Biersdorf am See,Gemeinde,7232015,Rheinland-Pfalz
Biesdorf,Gemeinde,7232016,Rheinland-Pfalz
Biesenthal,Stadt,12060024,Brandenburg
Biessenhofen,Gemeinde,9777112,Bayern
Bietigheim,Gemeinde,8216005,Baden-Württemberg
Bietigheim-Bissingen,Stadt,8118079,Baden-Württemberg
Bilkheim,Gemeinde,7143210,Rheinland-Pfalz
Billerbeck,Stadt,5558008,Nordrhein-Westfalen
Billigheim,Gemeinde,8225009,Baden-Württemberg
Billigheim-Ingenheim,Gemeinde,7337007,Rheinland-Pfalz
Bilsen,Gemeinde,1056004,Schleswig-Holstein
Bilshausen,Gemeinde,3152002,Niedersachsen
Bilzingsleben,Gemeinde,16068004,Thüringen 
Bimöhlen,Gemeinde,1060009,Schleswig-Holstein
Binau,Gemeinde,8225010,Baden-Württemberg
Bindlach,Gemeinde,9472119,Bayern
Bingen,Gemeinde,8437008,Baden-Württemberg
Bingen am Rhein,Stadt,7339005,Rheinland-Pfalz
Binnen,Gemeinde,3256002,Niedersachsen
Binningen,Gemeinde,7135009,Rheinland-Pfalz
Binsfeld,Gemeinde,7231010,Rheinland-Pfalz
Binswangen,Gemeinde,9773116,Bayern
Binz,Gemeinde,13073011,Mecklenburg-Vorpommern
Binzen,Gemeinde,8336008,Baden-Württemberg
Bippen,Gemeinde,3459011,Niedersachsen
Birenbach,Gemeinde,8117009,Baden-Württemberg
Birgel,Gemeinde,7233007,Rheinland-Pfalz
Birgland,Gemeinde,9371116,Bayern
Birkach,Gemeindefreies Gebiet,9572451,Bayern
Birkenau,Gemeinde,6431004,Hessen
Birkenbeul,Gemeinde,7132007,Rheinland-Pfalz
Birkenfeld,Stadt,7134010,Rheinland-Pfalz
Birkenfeld,Gemeinde,8236004,Baden-Württemberg
Birkenfeld,Gemeinde,9677119,Bayern
Birkenfelde,Gemeinde,16061007,Thüringen 
Birkenheide,Gemeinde,7338003,Rheinland-Pfalz
Birken-Honigsessen,Gemeinde,7132008,Rheinland-Pfalz
