Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Elterlein,Stadt,14521180,Sachsen
Eltmann,Stadt,9674133,Bayern
Eltville am Rhein,Stadt,6439003,Hessen
Elxleben,Gemeinde,16068009,Thüringen 
Elxleben,Gemeinde,16070013,Thüringen 
Elz,Gemeinde,6533006,Hessen
Elzach,Stadt,8316010,Baden-Württemberg
Elze,Stadt,3254014,Niedersachsen
Elztal,Gemeinde,8225117,Baden-Württemberg
Elzweiler,Gemeinde,7336021,Rheinland-Pfalz
Embsen,Gemeinde,3355016,Niedersachsen
Embühren,Gemeinde,1058048,Schleswig-Holstein
Emden,Stadt,3402000,Niedersachsen
Emeringen,Gemeinde,8425035,Baden-Württemberg
Emerkingen,Gemeinde,8425036,Baden-Württemberg
Emersacker,Gemeinde,9772137,Bayern
Emkendorf,Gemeinde,1058049,Schleswig-Holstein
Emleben,Gemeinde,16067013,Thüringen 
Emlichheim,Gemeinde,3456002,Niedersachsen
Emmelbaum,Gemeinde,7232031,Rheinland-Pfalz
Emmelsbüll-Horsbüll,Gemeinde,1054166,Schleswig-Holstein
Emmelshausen,Stadt,7140036,Rheinland-Pfalz
Emmendingen,Stadt,8316011,Baden-Württemberg
Emmendorf,Gemeinde,3360008,Niedersachsen
Emmerich am Rhein,Stadt,5154008,Nordrhein-Westfalen
Emmering,Gemeinde,9175136,Bayern
Emmering,Gemeinde,9179119,Bayern
Emmerthal,Gemeinde,3252005,Niedersachsen
Emmerting,Gemeinde,9171114,Bayern
Emmerzhausen,Gemeinde,7132026,Rheinland-Pfalz
Emmingen-Liptingen,Gemeinde,8327057,Baden-Württemberg
Empfertshausen,Gemeinde,16063023,Thüringen 
Empfingen,Gemeinde,8237024,Baden-Württemberg
Emsbüren,Gemeinde,3454010,Niedersachsen
Emsdetten,Stadt,5566008,Nordrhein-Westfalen
Emskirchen,Gemeinde,9575121,Bayern
Emstek,Gemeinde,3453005,Niedersachsen
Emtinghausen,Gemeinde,3361004,Niedersachsen
Emtmannsberg,Gemeinde,9472133,Bayern
Endingen am Kaiserstuhl,Stadt,8316012,Baden-Württemberg
Endlichhofen,Gemeinde,7141037,Rheinland-Pfalz
Endschütz,Gemeinde,16076017,Thüringen 
Engden,Gemeinde,3456003,Niedersachsen
Engelbrechtsche Wildnis,Gemeinde,1061027,Schleswig-Holstein
Engelsberg,Gemeinde,9189115,Bayern
Engelsbrand,Gemeinde,8236013,Baden-Württemberg
Engelschoff,Gemeinde,3359015,Niedersachsen
Engelskirchen,Gemeinde,5374008,Nordrhein-Westfalen
Engelstadt,Gemeinde,7339016,Rheinland-Pfalz
Engelthal,Gemeinde,9574120,Bayern
Engelthaler Forst,Gemeindefreies Gebiet,9574453,Bayern
Engen,Stadt,8335022,Baden-Württemberg
Enger,Stadt,5758008,Nordrhein-Westfalen
Enge-Sande,Gemeinde,1054167,Schleswig-Holstein
Engstingen,Gemeinde,8415089,Baden-Württemberg
Eningen unter Achalm,Gemeinde,8415019,Baden-Württemberg
Enkenbach-Alsenborn,Gemeinde,7335004,Rheinland-Pfalz
Enkirch,Gemeinde,7231029,Rheinland-Pfalz
Ennepetal,Stadt,5954008,Nordrhein-Westfalen
Ennigerloh,Stadt,5570020,Nordrhein-Westfalen
Ensch,Gemeinde,7235019,Rheinland-Pfalz
Ensdorf,Gemeinde,9371120,Bayern
Ensdorf,Gemeinde,10044123,Saarland
Ense,Gemeinde,5974012,Nordrhein-Westfalen
